storeName,totalInvoices,totalQuantity,grossAmount,taxAmount,discount,netAmount
REBEL MASS EXPORT PVT LTD,11,943,432690.15,38830.53,0,471520.68
REBEL MASS EXPORT PVT. LTD. (SONIPAT),108,404,264901.05,13245.05,0,274667.1
REBEL MASS EXPORT PVT. LTD. (GTB NAGAR),116,310,232063.53,13090.37,0,243794.3
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),107,301,189026.83,9947.07,0,191937.9
REBEL MASS EXPORT PVT. LTD (SAHIBABAD),57,122,106145.14,5307.26,0,110853.4
REBEL MASS EXPORT PVT. LTD (PITAMPURA),58,153,100692.48,5034.62,0,105727.1
SHRI KRISHNA ASSOCIATES (BHOPAL),36,99,92466.33,5548.67,0,98015
REBEL MASS EXPORT PVT. LTD. (SHAHJAHANPUR),53,97,79989.43,3999.47,0,83988.9
REBEL MASS EXPORT PVT. LTD. (HANUMANGARH),10,19,13239.81,661.99,0,13901.8
Testing Data,1,2,1140.95,57.05,0,1198
