warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,TIE25-0001 N/A,DA0985-N/A,N/A,,DA0985-N/A,431,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 BLACK,DA3142-L,L,,DA3142-L,312,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0014-0004157 ANTRA,0004157-XL,XL,,0004157-XL,305,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0014-0004156 ANTRA,0004156-L,L,,0004156-L,301,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 BLACK,DA3143-XL,XL,,DA3143-XL,297,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 WHITE,DA3139-XL,XL,,DA3139-XL,244,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 WHITE,DA3138-L,L,,DA3138-L,216,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 NAVY,DA2504-XL,XL,,DA2504-XL,206,0,0,0
REBEL MASS EXPORT PVT LTD,OXFORD BULLET WHITE,DA2012-58WIDTH,58 WIDTH,,DA2012-58WIDTH,204.5,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0003818 ANTRA,0003818-XL,XL,,0003818-XL,204,0,0,1
REBEL MASS EXPORT PVT LTD,TS25-0059 BLACK,DA2507-L,L,,DA2507-L,200,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0014-0004155 ANTRA,0004155-M,M,,0004155-M,192,0,0,0
REBEL MASS EXPORT PVT LTD,MAFATLAL COTTON WHITE,DA2015-58WIDTH,58 WIDTH,,DA2015-58WIDTH,189.6,0,0,0
REBEL MASS EXPORT PVT LTD,ASR26-T SHIRT N/A,BM0252-L,L,,BM0252-L,184,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 NAVY,DA2503-L,L,,DA2503-L,182,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0003817 ANTRA,0003817-L,L,,0003817-L,169,0,0,1
REBEL MASS EXPORT PVT LTD,FSH25-0070 WHITE,DA3140-XXL,XXL,,DA3140-XXL,167,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 BLACK,DA3144-XXL,XXL,,DA3144-XXL,163,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0072 NAVY,DA3497-XL,XL,,DA3497-XL,147,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0014-0004158 ANTRA,0004158-XXL,XXL,,0004158-XXL,147,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0072 NAVY,DA3496-L,L,,DA3496-L,142,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0070 WHITE,DA3137-M,M,,DA3137-M,137,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 BLACK,DA2508-XL,XL,,DA2508-XL,128,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 NAVY,DA2502-M,M,,DA2502-M,128,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0012 GREY/BLK,DA1267-86.36CM(34),86.36CM (34),,DA1267-86.36CM(34),124,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0020 MAROON,DA1655-L,L,,DA1655-L,123,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003765 BLACK,0003765-L,L,,0003765-L,120,0,0,0
REBEL MASS EXPORT PVT LTD,OXFORD BULLET GREY,DA2014-58WIDTH,58 WIDTH,,DA2014-58WIDTH,116.3,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0012 GREY/BLK,DA1266-81.28CM(32),81.28CM (32),,DA1266-81.28CM(32),116,0,0,0
REBEL MASS EXPORT PVT LTD,ASR25CSH-0001 N/A,DA3049-XXXL,XXXL,,DA3049-XXXL,110,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003761 CHARCOAL,0003761-L,L,,0003761-L,108,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0059 NAVY,DA2505-XXL,XXL,,DA2505-XXL,107,0,0,0
REBEL MASS EXPORT PVT LTD,TIE0001-0001991 NILL,0001991-FREE,FREE,,0001991-FREE,105,0,0,0
REBEL MASS EXPORT PVT LTD,ASR26-T SHIRT N/A,BM0253-XL,XL,,BM0253-XL,104,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0005367 B.MELANGE,0005367-L,L,,0005367-L,103,0,0,1
REBEL MASS EXPORT PVT LTD,TS25-0020 B.GREEN,DA2117-XL,XL,,DA2117-XL,102,0,0,0
REBEL MASS EXPORT PVT LTD,OXFORD BULLET PINK,DA2013-58WIDTH,58 WIDTH,,DA2013-58WIDTH,100,0,0,0
REBEL MASS EXPORT PVT LTD,AW24JKT0011-0004450 RED/NAVY.,0004450-M,M,,0004450-M,98,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0003-0003819 ANTRA,0003819-XXL,XXL,,0003819-XXL,98,0,0,1
REBEL MASS EXPORT PVT LTD,ASR26-T SHIRT N/A,BM0251-M,M,,BM0251-M,97,0,0,0
REBEL MASS EXPORT PVT LTD,ROYAL SATIN WHITE,DA2016-58WIDTH,58 WIDTH,,DA2016-58WIDTH,96.8,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003762 CHARCOAL,0003762-XL,XL,,0003762-XL,96,0,0,1
REBEL MASS EXPORT PVT LTD,AW24JKT0011-0004453 RED/NAVY.,0004453-XXL,XXL,,0004453-XXL,94,0,0,0
REBEL MASS EXPORT PVT LTD,AW24D0004-0003508 CARBON,0003508-86.36CM(34),86.36CM (34),,0003508-86.36CM(34),93,0,0,0
REBEL MASS EXPORT PVT LTD,AW24TK0001-0005130 B.MELANGE,0005130-XL,XL,,0005130-XL,93,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003766 BLACK,0003766-XL,XL,,0003766-XL,92,0,0,1
REBEL MASS EXPORT PVT LTD,CWC25-32-0004 BLACK,DA1567-101.6CM(40),101.6CM (40),,DA1567-101.6CM(40),91,0,0,0
REBEL MASS EXPORT PVT LTD,AW24D0004-0003507 CARBON,0003507-81.28CM(32),81.28CM (32),,0003507-81.28CM(32),90,0,0,0
REBEL MASS EXPORT PVT LTD,AW24JKT0011-0004452 RED/NAVY.,0004452-XL,XL,,0004452-XL,90,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0006429 ANTRA,0006429-L,L,,0006429-L,90,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0001-0006838 PEACH,0006838-L,L,,0006838-L,89,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0008 MAROON,DA0987-L,L,,DA0987-L,89,0,0,0
